    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     173           173     0.5209   1.000E+00   0.1023   0.0151   8.882E-16   7.80874755E-02   2.69373001E-03
     174           174     0.5188   1.000E+00   0.1023   0.0151   8.957E-16   7.80877600E-02   2.69375912E-03
     175           175     0.5195   1.000E+00   0.1023   0.0151   9.025E-16   7.80880447E-02   2.69378824E-03
     176           176     0.5216   1.000E+00   0.1023   0.0151   8.046E-16   7.80883294E-02   2.69381738E-03
     177           177     0.5211   1.000E+00   0.1023   0.0151   1.068E-15   7.80886143E-02   2.69384652E-03
     178           178     0.5168   1.000E+00   0.1023   0.0151   7.925E-16   7.80888993E-02   2.69387568E-03
     179           179     0.5643   1.000E+00   0.1022   0.0151   9.334E-16   7.80891843E-02   2.69390486E-03
     180           180     0.5192   1.000E+00   0.1022   0.0151   9.544E-16   7.80894694E-02   2.69393404E-03
     181           181     0.5187   1.000E+00   0.1021   0.0151   7.952E-16   7.80897545E-02   2.69396323E-03
     182           182     0.5231   1.000E+00   0.1021   0.0152   8.409E-16   7.80900399E-02   2.69399244E-03
     183           183     0.5261   1.000E+00   0.1020   0.0152   9.517E-16   7.80903253E-02   2.69402166E-03
     184           184     0.5193   1.000E+00   0.1020   0.0152   8.424E-16   7.80906109E-02   2.69405089E-03
     185           185     0.5268   1.000E+00   0.1020   0.0152   9.296E-16   7.80908965E-02   2.69408013E-03
     186           186     0.5238   1.000E+00   0.1019   0.0152   8.317E-16   7.80911823E-02   2.69410937E-03
     187           187     0.5188   1.000E+00   0.1019   0.0152   9.596E-16   7.80914681E-02   2.69413863E-03
     188           188     0.5656   1.000E+00   0.1018   0.0152   8.348E-16   7.80917541E-02   2.69416791E-03
     189           189     0.5260   1.000E+00   0.1018   0.0152   1.070E-15   7.80920402E-02   2.69419719E-03
     190           190     0.5184   1.000E+00   0.1018   0.0152   8.861E-16   7.80923264E-02   2.69422649E-03
     191           191     0.5182   1.000E+00   0.1018   0.0152   7.944E-16   7.80926127E-02   2.69425579E-03
     192           192     0.5176   1.000E+00   0.1019   0.0152   8.251E-16   7.80928990E-02   2.69428511E-03
     193           193     0.5175   1.000E+00   0.1020   0.0152   1.201E-15   7.80931854E-02   2.69431443E-03
     194           194     0.5192   1.000E+00   0.1020   0.0152   9.741E-16   7.80934719E-02   2.69434377E-03
     195           195     0.5176   1.000E+00   0.1021   0.0152   8.250E-16   7.80937585E-02   2.69437312E-03
     196           196     0.5194   1.000E+00   0.1021   0.0152   9.443E-16   7.80940453E-02   2.69440249E-03
     197           197     0.5197   1.000E+00   0.1021   0.0152   8.517E-16   7.80943321E-02   2.69443186E-03
     198           198     0.5669   1.000E+00   0.1021   0.0151   8.658E-16   7.80946191E-02   2.69446125E-03
     199           199     0.5240   1.000E+00   0.1020   0.0151   9.234E-16   7.80949062E-02   2.69449065E-03
     200           200     0.5256   1.000E+00   0.1020   0.0151   8.986E-16   7.80951934E-02   2.69452006E-03
     201           201     0.5183   1.000E+00   0.1021   0.0151   9.088E-16   7.80954808E-02   2.69454949E-03
     202           202     0.5221   1.000E+00   0.1022   0.0151   7.648E-16   7.80957681E-02   2.69457892E-03
     203           203     0.5168   1.000E+00   0.1023   0.0151   1.035E-15   7.80960555E-02   2.69460837E-03
     204           204     0.5171   1.000E+00   0.1024   0.0151   7.947E-16   7.80963430E-02   2.69463782E-03
     205           205     0.5244   1.000E+00   0.1025   0.0150   9.109E-16   7.80966306E-02   2.69466729E-03
     206           206     0.5232   1.000E+00   0.1025   0.0150   7.489E-16   7.80969183E-02   2.69469676E-03
     207           207     0.5578   1.000E+00   0.1025   0.0150   8.009E-16   7.80972061E-02   2.69472625E-03
     208           208     0.5194   1.000E+00   0.1025   0.0150   1.048E-15   7.80974940E-02   2.69475575E-03
     209           209     0.5176   1.000E+00   0.1025   0.0150   9.947E-16   7.80977820E-02   2.69478526E-03
     210           210     0.5200   1.000E+00   0.1024   0.0150   8.879E-16   7.80980702E-02   2.69481478E-03
