    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     155           155     0.0057   1.000E+00   0.1019   0.0070   8.942E-16   7.81039972E-02   2.68821756E-03
     156           156     0.0057   1.000E+00   0.1019   0.0070   8.777E-16   7.81043617E-02   2.68823172E-03
     157           157     0.0058   1.000E+00   0.1019   0.0070   9.523E-16   7.81047258E-02   2.68824595E-03
     158           158     0.0057   1.000E+00   0.1019   0.0070   1.061E-15   7.81050895E-02   2.68826027E-03
     159           159     0.0057   1.000E+00   0.1019   0.0070   8.733E-16   7.81054529E-02   2.68827466E-03
     160           160     0.0057   1.000E+00   0.1019   0.0070   8.721E-16   7.81058158E-02   2.68828913E-03
     161           161     0.0057   1.000E+00   0.1020   0.0069   8.841E-16   7.81061784E-02   2.68830368E-03
     162           162     0.0057   1.000E+00   0.1020   0.0069   8.322E-16   7.81065406E-02   2.68831831E-03
     163           163     0.0057   1.000E+00   0.1020   0.0069   1.006E-15   7.81069025E-02   2.68833301E-03
     164           164     0.0058   1.000E+00   0.1021   0.0069   8.339E-16   7.81072639E-02   2.68834778E-03
     165           165     0.0058   1.000E+00   0.1021   0.0069   8.618E-16   7.81076250E-02   2.68836263E-03
     166           166     0.0057   1.000E+00   0.1021   0.0069   8.289E-16   7.81079857E-02   2.68837755E-03
     167           167     0.0058   1.000E+00   0.1021   0.0068   8.216E-16   7.81083461E-02   2.68839254E-03
     168           168     0.0059   1.000E+00   0.1021   0.0068   8.770E-16   7.81087061E-02   2.68840760E-03
     169           169     0.0058   1.000E+00   0.1021   0.0068   7.526E-16   7.81090657E-02   2.68842273E-03
     170           170     0.0057   1.000E+00   0.1021   0.0068   8.548E-16   7.81094250E-02   2.68843792E-03
     171           171     0.0057   1.000E+00   0.1021   0.0068   8.995E-16   7.81097839E-02   2.68845318E-03
     172           172     0.0057   1.000E+00   0.1021   0.0068   1.077E-15   7.81101425E-02   2.68846851E-03
     173           173     0.0058   1.000E+00   0.1021   0.0067   7.195E-16   7.81105007E-02   2.68848390E-03
     174           174     0.0057   1.000E+00   0.1021   0.0067   7.877E-16   7.81108586E-02   2.68849935E-03
     175           175     0.0058   1.000E+00   0.1021   0.0067   8.527E-16   7.81112161E-02   2.68851486E-03
     176           176     0.0057   1.000E+00   0.1020   0.0067   9.022E-16   7.81115733E-02   2.68853043E-03
     177           177     0.0057   1.000E+00   0.1020   0.0067   8.907E-16   7.81119301E-02   2.68854606E-03
     178           178     0.0058   1.000E+00   0.1019   0.0067   8.448E-16   7.81122866E-02   2.68856176E-03
     179           179     0.0057   1.000E+00   0.1019   0.0067   1.015E-15   7.81126427E-02   2.68857750E-03
     180           180     0.0058   1.000E+00   0.1018   0.0066   9.924E-16   7.81129985E-02   2.68859331E-03
     181           181     0.0057   1.000E+00   0.1018   0.0066   8.684E-16   7.81133540E-02   2.68860917E-03
     182           182     0.0057   1.000E+00   0.1018   0.0066   9.729E-16   7.81137092E-02   2.68862509E-03
     183           183     0.0058   1.000E+00   0.1018   0.0066   8.721E-16   7.81140640E-02   2.68864106E-03
     184           184     0.0058   1.000E+00   0.1018   0.0066   8.807E-16   7.81144185E-02   2.68865708E-03
     185           185     0.0058   1.000E+00   0.1017   0.0066   8.945E-16   7.81147726E-02   2.68867316E-03
     186           186     0.0057   1.000E+00   0.1017   0.0065   9.586E-16   7.81151265E-02   2.68868929E-03
     187           187     0.0058   1.000E+00   0.1017   0.0065   8.487E-16   7.81154800E-02   2.68870547E-03
     188           188     0.0058   1.000E+00   0.1018   0.0065   8.373E-16   7.81158332E-02   2.68872171E-03
     189           189     0.0057   1.000E+00   0.1018   0.0065   8.507E-16   7.81161860E-02   2.68873799E-03
     190           190     0.0057   1.000E+00   0.1018   0.0065   9.889E-16   7.81165386E-02   2.68875433E-03
     191           191     0.0059   1.000E+00   0.1018   0.0065   7.815E-16   7.81168908E-02   2.68877072E-03
     192           192     0.0058   1.000E+00   0.1017   0.0064   8.755E-16   7.81172428E-02   2.68878716E-03
     193           193     0.0058   1.000E+00   0.1017   0.0064   8.795E-16   7.81175944E-02   2.68880365E-03
     194           194     0.0058   1.000E+00   0.1017   0.0064   8.445E-16   7.81179457E-02   2.68882019E-03
     195           195     0.0057   1.000E+00   0.1018   0.0064   8.246E-16   7.81182967E-02   2.68883678E-03
     196           196     0.0058   1.000E+00   0.1018   0.0064   7.888E-16   7.81186474E-02   2.68885342E-03
     197           197     0.0057   1.000E+00   0.1019   0.0064   8.434E-16   7.81189978E-02   2.68887010E-03
     198           198     0.0057   1.000E+00   0.1019   0.0064   1.013E-15   7.81193479E-02   2.68888684E-03
     199           199     0.0058   1.000E+00   0.1019   0.0064   7.776E-16   7.81196977E-02   2.68890362E-03
     200           200     0.0058   1.000E+00   0.1019   0.0064   7.918E-16   7.81200471E-02   2.68892045E-03
     201           201     0.0058   1.000E+00   0.1019   0.0064   7.437E-16   7.81203963E-02   2.68893733E-03
     202           202     0.0057   1.000E+00   0.1019   0.0064   1.016E-15   7.81207452E-02   2.68895426E-03
     203           203     0.0058   1.000E+00   0.1018   0.0064   9.391E-16   7.81210938E-02   2.68897123E-03
     204           204     0.0058   1.000E+00   0.1018   0.0064   9.127E-16   7.81214421E-02   2.68898825E-03
     205           205     0.0057   1.000E+00   0.1019   0.0063   8.439E-16   7.81217902E-02   2.68900532E-03
     206           206     0.0057   1.000E+00   0.1019   0.0063   7.950E-16   7.81221379E-02   2.68902243E-03
     207           207     0.0058   1.000E+00   0.1020   0.0063   8.481E-16   7.81224853E-02   2.68903958E-03
     208           208     0.0057   1.000E+00   0.1020   0.0063   8.647E-16   7.81228325E-02   2.68905678E-03
     209           209     0.0057   1.000E+00   0.1020   0.0063   8.218E-16   7.81231794E-02   2.68907402E-03
     210           210     0.0058   1.000E+00   0.1020   0.0063   8.126E-16   7.81235260E-02   2.68909131E-03
     211           211     0.0058   1.000E+00   0.1019   0.0063   9.423E-16   7.81238723E-02   2.68910863E-03
     212           212     0.0058   1.000E+00   0.1019   0.0062   8.040E-16   7.81242183E-02   2.68912600E-03
     213           213     0.0057   1.000E+00   0.1019   0.0062   8.989E-16   7.81245640E-02   2.68914341E-03
     214           214     0.0057   1.000E+00   0.1020   0.0062   8.790E-16   7.81249095E-02   2.68916086E-03
     215           215     0.0058   1.000E+00   0.1021   0.0062   8.803E-16   7.81252547E-02   2.68917835E-03
     216           216     0.0058   1.000E+00   0.1022   0.0062   8.549E-16   7.81255997E-02   2.68919587E-03
     217           217     0.0057   1.000E+00   0.1023   0.0062   7.665E-16   7.81259443E-02   2.68921344E-03
     218           218     0.0058   1.000E+00   0.1023   0.0062   7.775E-16   7.81262887E-02   2.68923104E-03
     219           219     0.0058   1.000E+00   0.1024   0.0062   8.963E-16   7.81266328E-02   2.68924868E-03
     220           220     0.0057   1.000E+00   0.1025   0.0062   7.953E-16   7.81269767E-02   2.68926635E-03
     221           221     0.0057   1.000E+00   0.1025   0.0062   8.293E-16   7.81273203E-02   2.68928407E-03
     222           222     0.0058   1.000E+00   0.1025   0.0061   8.768E-16   7.81276636E-02   2.68930181E-03
     223           223     0.0058   1.000E+00   0.1025   0.0061   8.826E-16   7.81280066E-02   2.68931959E-03
     224           224     0.0057   1.000E+00   0.1025   0.0061   7.858E-16   7.81283494E-02   2.68933741E-03
     225           225     0.0057   1.000E+00   0.1025   0.0061   1.078E-15   7.81286920E-02   2.68935526E-03
     226           226     0.0058   1.000E+00   0.1025   0.0061   8.834E-16   7.81290343E-02   2.68937314E-03
     227           227     0.0058   1.000E+00   0.1025   0.0061   8.020E-16   7.81293763E-02   2.68939106E-03
     228           228     0.0057   1.000E+00   0.1026   0.0061   1.117E-15   7.81297180E-02   2.68940900E-03
     229           229     0.0058   1.000E+00   0.1026   0.0061   7.743E-16   7.81300596E-02   2.68942699E-03
     230           230     0.0058   1.000E+00   0.1027   0.0060   8.047E-16   7.81304008E-02   2.68944500E-03
     231           231     0.0058   1.000E+00   0.1028   0.0060   8.524E-16   7.81307418E-02   2.68946304E-03
     232           232     0.0057   1.000E+00   0.1028   0.0060   1.036E-15   7.81310826E-02   2.68948112E-03
     233           233     0.0057   1.000E+00   0.1028   0.0060   8.546E-16   7.81314231E-02   2.68949923E-03
     234           234     0.0058   1.000E+00   0.1028   0.0060   9.318E-16   7.81317634E-02   2.68951737E-03
     235           235     0.0058   1.000E+00   0.1028   0.0059   9.414E-16   7.81321034E-02   2.68953554E-03
     236           236     0.0057   1.000E+00   0.1028   0.0059   1.101E-15   7.81324431E-02   2.68955374E-03
     237           237     0.0057   1.000E+00   0.1028   0.0059   7.592E-16   7.81327827E-02   2.68957197E-03
     238           238     0.0058   1.000E+00   0.1027   0.0059   9.352E-16   7.81331219E-02   2.68959023E-03
     239           239     0.0058   1.000E+00   0.1026   0.0059   7.871E-16   7.81334610E-02   2.68960852E-03
     240           240     0.0057   1.000E+00   0.1026   0.0059   9.085E-16   7.81337998E-02   2.68962685E-03
     241           241     0.0058   1.000E+00   0.1026   0.0059   9.937E-16   7.81341383E-02   2.68964520E-03
     242           242     0.0057   1.000E+00   0.1027   0.0059   8.691E-16   7.81344767E-02   2.68966358E-03
     243           243     0.0058   1.000E+00   0.1027   0.0059   8.552E-16   7.81348148E-02   2.68968200E-03
     244           244     0.0058   1.000E+00   0.1027   0.0058   8.942E-16   7.81351526E-02   2.68970044E-03
     245           245     0.0057   1.000E+00   0.1027   0.0058   8.553E-16   7.81354902E-02   2.68971892E-03
     246           246     0.0058   1.000E+00   0.1027   0.0058   7.969E-16   7.81358276E-02   2.68973742E-03
